ID,Edad,Salario,Ciudad
1,56.0,2600.0,Guayaquil
2,46.0,1848.0,Quito
3,32.0,2694.0,Loja
4,60.0,2530.0,Quito
5,25.0,1689.0,Quito
6,,1662.0,Guayaquil
7,56.0,798.0,Quito
8,36.0,2439.0,Cuenca
9,40.0,1288.0,Guayaquil
10,28.0,1349.0,Cuenca
11,28.0,,Guayaquil
12,41.0,1877.0,Quito
13,53.0,1677.0,Guayaquil
14,57.0,2449.0,Cuenca
15,41.0,1377.0,Guayaquil
16,20.0,1638.0,
17,39.0,2077.0,Loja
18,19.0,2992.0,Quito
19,41.0,2146.0,Cuenca
20,61.0,2403.0,Loja
21,150.0,1882.0,Quito
22,55.0,644.0,Loja
23,19.0,2822.0,Cuenca
24,38.0,1702.0,Quito
25,50.0,2361.0,Loja
26,29.0,50000.0,Cuenca
27,39.0,2366.0,Loja
28,61.0,1598.0,Quito
29,42.0,1651.0,Quito
30,44.0,2234.0,Quito
31,59.0,1067.0,Cuenca
32,45.0,2313.0,Loja
33,33.0,1030.0,Loja
34,32.0,2706.0,Cuenca
35,64.0,2061.0,Quito
36,61.0,1180.0,Guayaquil
37,20.0,2570.0,Quito
38,54.0,1570.0,Guayaquil
39,24.0,1228.0,Quito
40,38.0,2229.0,Cuenca
41,26.0,2691.0,Guayaquil
42,56.0,1167.0,Cuenca
43,35.0,2112.0,Guayaquil
44,21.0,1180.0,Loja
45,42.0,1472.0,Guayaquil
46,31.0,2632.0,Guayaquil
47,26.0,2963.0,Guayaquil
48,43.0,1326.0,Loja
49,19.0,796.0,Cuenca
50,37.0,1753.0,Loja
51,45.0,2925.0,Guayaquil
52,64.0,2968.0,Quito
53,24.0,2652.0,Loja
54,61.0,2228.0,Quito
55,25.0,2524.0,Loja
56,64.0,829.0,Loja
57,52.0,2986.0,Guayaquil
58,31.0,1655.0,Cuenca
59,34.0,2390.0,Cuenca
60,53.0,881.0,Guayaquil
61,57.0,2685.0,Loja
62,21.0,1342.0,Cuenca
63,19.0,2817.0,Cuenca
64,23.0,895.0,Cuenca
65,59.0,949.0,Guayaquil
66,21.0,1854.0,Quito
67,46.0,2486.0,Quito
68,35.0,1808.0,Quito
69,43.0,1797.0,Quito
70,61.0,2567.0,Quito
71,51.0,2786.0,Cuenca
72,27.0,1793.0,Cuenca
73,53.0,2965.0,Loja
74,31.0,2349.0,Cuenca
75,48.0,685.0,Guayaquil
76,32.0,1733.0,Loja
77,25.0,1937.0,Cuenca
78,31.0,752.0,Loja
79,40.0,518.0,Loja
80,57.0,1659.0,Quito
81,38.0,722.0,Loja
82,33.0,502.0,Cuenca
83,62.0,1759.0,Quito
84,35.0,1353.0,Cuenca
85,64.0,1988.0,Quito
86,41.0,727.0,Cuenca
87,43.0,2177.0,Quito
88,42.0,998.0,Quito
89,62.0,2385.0,Guayaquil
90,58.0,2515.0,Cuenca
91,46.0,1662.0,Loja
92,32.0,1799.0,Quito
